"","words","term.freq","doc.freq"
"367","shop",172,61
"368","tire",98,43
"369","gossip",11,9
"370","hei",36,22
"371","uiuat",1,1
"372","give",630,67
"373","due",153,54
"374","credit",84,48
"375","then",1315,67
"376","wliat",23,14
"377","ire",61,42
"378","lui",74,41
"379","iiiig",1,1
"380","present",590,67
"381","done",431,67
"382","few",738,67
"383","virtue",36,25
"384","poaaeuiics",1,1
"385","eaay",3,3
"386","about",1404,67
"387","vvna",1,1
"388","proved",112,57
"389","sat",106,47
"390","isfac",1,1
"391","vartan",19,3
"392","tarty",3,3
"393","to-monnw",1,1
"394","iresunt",1,1
"395","tiienmelvo",1,1
"396","tion",293,64
"397","tlie",366,59
"398","court",322,65
"399","daring",20,17
"400","little",1105,67
"401","act",224,61
"402","eight",177,59
"403","occii",2,2
"404","ued",11,9
"405","lier",149,48
"406","varum",4,4
"407","intoxicated",4,4
"408","who",2745,67
"409","luul",13,11
"410","re-il",1,1
"411","mere",66,36
"412","boy",266,63
"413","month",234,64
"414","more",1338,67
"415","tlrink",1,1
"416","this",3948,67
"417","recording",2,2
"418","shining",28,21
"419","seventeen",21,20
"420","marriage",110,44
"421","already",193,60
"422","ready",179,58
"423","put",515,67
"424","all",4188,67
"425","purchaae",1,1
"426","tile",69,36
"427","frank",122,42
"428","oca",4,4
"429","huahand",1,1
"430","living",184,58
"431","holiday",25,19
"432","iniitlv",1,1
"433","dreamed",19,18
"434","joining",11,8
"435","room",463,64
"436","lien",36,28
"437","tliia",4,3
"438","shmit",1,1
"439","our",1415,67
"440","reader",35,25
"441","aatrole",1,1
"442","know",811,67
"443","interrupted",27,20
"444","var",10,9
"445","day",1262,67
"446","half",465,67
"447","what",1413,67
"448","alie",2,2
"449","alarm",53,36
"450","in»tead",1,1
"451","going",500,67
"452","matches",33,19
"453","ian",18,15
"454","aaimi",1,1
"455","impatient",12,8
"456","tune",31,24
"457","other",1434,67
"458","anil",97,35
"459","lie",1846,67
"460","run",224,64
"461","hold",238,67
"462","ahe",44,15
"463","haa",50,28
"464","upon",988,67
"465","con",323,67
"466","goaaip",1,1
"467","home",585,67
"468","hall",273,65
"469","tiliuch",1,1
"470","grove",25,16
"471","calmly",26,22
"472","iatluit",1,1
"473","great",1004,67
"474","ean",8,8
"475","draw",55,33
"476","breath",49,30
"477","relief",73,37
"478","knowh",1,1
"479","were",2554,67
"480","ndeaacd",1,1
"481","mar",60,40
"482","call",379,66
"483","uvh",3,3
"484","beastly",2,1
"485","what'a",1,1
"486","matter",366,66
"487","naked",12,12
"488","ralph",8,6
"489","riitgo",1,1
"490","ifuietly",1,1
"491","rojhid",1,1
"492","weather",173,62
"493","comes",167,54
"494","prevent",84,45
"495","dear",218,60
"496","juriuoii",1,1
"497","through",828,67
"498","influence",83,45
"499","lew",30,25
"500","friends",293,65
"501","friend",266,63
"502","calling",52,33
"503","laerrpant",1,1
"504","hoard",42,31
"505","onteidc",1,1
"506","thoae",4,4
"507","friemla",1,1
"508","biniilc",1,1
"509","herself",194,62
"510","mother",329,62
"511","abut",3,3
"512","just",588,67
"513","was",7921,67
"514","coining",36,23
"515","hoi",40,30
"516","episode",7,6
"517","unknown",39,27
"518","comfortably",16,13
"519","dozing",2,2
"520","iiixuiimut",1,1
"521","aaya",6,3
"522","gnee",1,1
"523","match",91,42
"524","mind",248,64
"525","lia",54,27
"526","une",102,52
"527","depths",19,15
"528","easy-chair",2,2
"529","arc",349,65
"530","hire",35,24
"531","yog",3,3
"532","fvtg",1,1
"533","mi*vu",1,1
"534","here",908,67
"535","expose",9,7
"536","relatives",24,21
"537","ahull",9,7
"538","total",112,47
"539","heavens",16,11
"540","wnt",3,3
"541","terrible",191,56
"542","tie",257,65
"543","woll",5,5
"544","paid",256,65
"545","silence",51,29
"546","but",3401,67
"547","self",88,47
"548","miss",433,64
"549","hopelessly",3,3
"550","overheard",7,6
"551","nay",49,29
"552","llalpli",1,1
"553","excited",40,31
"554","miiiil",1,1
"555","ilisinheritaiiee",1,1
"556","sure",240,64
"557","come",617,66
"558","mao,me",1,1
"559","nothing",447,65
"560","trusting",9,8
"561","lurry",6,2
"562","promptness",3,3
"563","meant",44,33
"564","midenrtand",1,1
"565","josgrove",1,1
"566","cnrnluct",1,1
"567","wlmt",35,19
"568","said",1630,67
"569","enure",2,2
"570","yesterday",109,48
"571","reaches",32,24
"572","oars",13,12
"573","ji""-.n",1,1
"574","min",74,42
"575","kill",81,45
"576","pays",26,23
"577","attention",304,67
"578","than",1430,67
"579","inez",367,18
"580","toes",7,6
"581","voice",260,55
"582","quivered",5,5
"583","whom",310,64
"584","report",164,56
"585","marry",55,28
"586","his",5618,67
"587","chin",14,12
"588","dropped",25,20
"589","lower",103,51
"590","in-cast",1,1
"591","knows",146,55
"592","drove",49,30
"593","careful",62,39
"594","t-«i",2,2
"595","late",301,66
"596","uttered",29,26
"597","those",821,67
"598","wmsls",1,1
"599","cosgrove",34,8
"600","behind",94,47
"601","new",1200,67
"602","urn",80,45
"603","take",693,67
"604","walk",95,47
"605","own",587,67
"606","renin",2,2
"607","state",360,67
"608","excite",25,24
"609","throws",15,9
"610","himself",464,67
"611","achuir",1,1
"612","lisiks",1,1
"613","smile",89,44
"614","care",259,67
"615","if'iean't",1,1
"616","ment",181,63
"617","brother",137,53
"618","utters",8,7
"619","these",699,67
"620","words",226,62
"621","moments",34,24
"622","young",885,67
"623","can't",31,20
"624","understand",153,59
"625","lany",7,2
"626","varien",3,2
"627","married",156,55
"628","reiieats",1,1
"629","ovui",1,1
"630","speaking",54,36
"631","mini",59,32
"632","some",1616,67
"633","surer",2,2
"634","love",445,63
"635","over",1296,67
"636","elas",1,1
"637","handr",1,1
"638","year",844,67
"639","oltler",1,1
"640","variait",25,13
"641","anti",42,31
"642","larry",52,8
"643","lint",61,37
"644","isn",12,11
"645","nervously",7,6
"646","walks",36,19
"647","floor",87,42
"648","rapidly",90,46
"649","tliat",142,44
"650","many",876,67
"651","yea",47,31
"652","i]i",1,1
"653","ied",16,15
"654","girl",344,63
"655","vanan",7,5
"656","isn't",17,12
"657","calm",42,33
"658","stands",69,40
"659","before",913,67
"660","pleasure",133,50
"661","sinful",5,5
"662","eup",3,3
"663","very",1770,67
"664","myself",128,47
"665","included",29,22
"666","blight",6,6
"667","grate",18,13
"668","oueer",1,1
"669","near",336,63
"670","its",1253,67
"671","dreg",2,2
"672","bachelor",11,9
"673","having",561,67
"674","variai",24,13
"675","lovo",8,8
"676","adopted",77,42
"677","broth",6,6
"678","round",180,57
"679","face",563,64
"680","secret",62,34
"681","has",3145,67
"682","relative",24,18
"683","cares",16,13
"684","ties",132,63
"685","i'm",101,45
"686","almost",293,65
"687","card",77,43
"688","ls.th",1,1
"689","di«ip",1,1
"690","iiiitoieiit",1,1
"691","a.aat-f",1,1
"692","ret",34,24
"693","liuyihml",1,1
"694","friendship",26,21
"695","claimed",92,52
"696","something",236,65
"697","between",521,67
"698","isfaetimi",1,1
"699","after",1059,67
"700","fashion",47,33
"701","male",30,23
"702","com",305,67
"703","tail",70,46
"704","ions",39,27
"705","perliapa",1,1
"706","ilovere",1,1
"707","wish",203,63
"708","w.is",4,4
"709","flier",2,2
"710","redeeming",2,2
"711","quality",135,62
"712","amt",73,40
"713","talked",42,29
"714","suite",23,20
"715","soft",94,42
"716","nonsense",22,18
"717","lteeu",1,1
"718","known",400,67
"719","desert",24,19
"720","free",265,64
"721","dim",22,16
"722","area",34,21
"723","faith",57,35
"724","anything",356,67
"725","wife",406,65
"726","lucky",11,11
"727","tiling",35,24
"728","felt",164,60
"729","intuition",2,2
"730","hour",316,64
"731","need",146,57
"732","perhaps",169,58
"733","sja-akiug",1,1
"734","must",881,67
"735","push",24,17
"736","says",920,66
"737","looking",256,60
"738","diuwaly",1,1
"739","sistei",1,1
"740","disliked",3,3
"741","sister",101,38
"742","aotoixi-wanl",1,1
"743","roa»l",1,1
"744","chair",107,45
"745","ingly",6,6
"746","varian",321,18
"747","manied",1,1
"748","also",646,67
"749","rendered",49,38
"750","gentle",63,42
"751","mamma",29,16
"752","red",177,59
"753","mure",25,20
"754","invaluable",21,15
"755","services",67,35
"756","willing",60,40
"757","dvning",1,1
"758","aland",11,10
"759","truly",74,47
"760","satisfaction",193,64
"761","understands",16,12
"762","vartan's",7,4
"763","irelieve",1,1
"764","aloud",16,13
"765","papa",44,22
"766","dinner",100,43
"767","maiii-iiuit",1,1
"768","express",61,39
"769","thoughts",72,43
"770","savs",6,6
"771","want",335,66
"772","sita",1,1
"773","resumed",30,26
"774","doze",4,3
"775","think",640,64
"776","ana",80,45
"777","isuifli",1,1
"778","company",455,65
"779","barbe",2,2
"780","blwhc'lo-surry",1,1
"781","lioy",2,2
"782","he's",16,11
"783","real",147,57
"784","mean",141,49
"785","takes",148,49
"786","notice",342,66
"787","mother's",22,19
"788","sudden",81,43
"789","ipies",1,1
"790","end",526,66
"791","such",875,67
"792","actress",35,11
"793","threatens",6,5
"794","keeping",66,41
"795","sense",86,43
"796","answers",51,22
"797","see",725,67
"798","them",1826,67
"799","menu",8,7
"800","let",425,66
"801","money",401,66
"802","fails",16,14
"803","stay",64,40
"804","away",557,67
"805","humbug",5,4
"806","lieve",11,10
"807","clean",40,28
"808","hruist",1,1
"809","furliis",1,1
"810","does",291,66
"811","old",969,67
"812","gentleman",274,63
"813","ould",19,14
"814","cam",40,32
"815","once",490,67
"816","flank",5,4
"817","don",252,63
"818","sight",125,52
"819","juncture",2,2
"820","upright",9,6
"821","uod-feariug",1,1
"822","yawns",3,3
"823","disturbsliei",1,1
"824","iimm-nnirc",1,1
"825","thinks",116,39
"826","diarespreut",1,1
"827","wishes",75,36
"828","god's",10,9
"829","long",578,67
"830","ago",514,67
"831","heigh",1,1
"832","gage............lit",1,1
"833","lias",294,62
"834","laid",155,60
"835","ref",10,10
"836","ore",71,43
"837","wished",62,40
"838","library",36,26
"839","sort",57,36
"840","von",65,37
"841","buries",4,4
"842","don't",175,55
"843","to-morrow",45,24
"844","always",396,64
"845","keep",286,63
"846","hook",21,16
"847","awful",30,18
"848","tense",6,6
"849","barlre",1,1
"850","till-lie",1,1
"851","tihiiorrow",1,1
"852","better",411,67
"853","nobody",22,14
"854","nil",264,61
"855","another",493,67
"856","ojrera",1,1
"857","paris",104,46
"858","instead",118,50
"859","addressing",7,7
"860","change",187,62
"861","names",80,44
"862","suits",86,55
"863","keeping,you",1,1
"864","liore",1,1
"865","school",227,58
"866","hang",27,17
"867","hardly",81,39
"868","imre",10,9
"869","seen",360,67
"870","lrefore",2,1
"871","asks",41,23
"872","blame",26,19
"873","getting",178,60
"874","answer",170,58
"875","mrs",552,65
"876","obliging",8,7
"877","husband",193,56
"878","falling",78,42
"879","scrape",3,3
"880","consulting",8,8
"881","watch",147,54
"882","whines",2,2
"883","lin",56,31
"884","huimiii",1,1
"885","forgive",41,20
"886","cries",116,39
"887","grevé",1,1
"888","den",40,28
"889","indignantly",6,5
"890","soon",274,64
"891","maud's",9,4
"892","silken",10,8
"893","train",256,59
"894","uppinve",1,1
"895","children",369,66
"896","sweeps",11,3
"897","acre",77,34
"898","o]s-ia",1,1
"899","bontt'e",1,1
"900","y'nii",1,1
"901","madam",26,13
"902","grove's",1,1
"903","next",589,66
"904","question",280,62
"905","finds",36,28
"906","way",699,67
"907","grand",301,62
"908","carpeted",3,3
"909","stairway",7,6
"910","please",78,44
"911","sir",609,66
"912","been",2615,67
"913","may",1155,67
"914","cause",225,63
"915","death",389,64
"916","where",852,67
"917","find",396,67
"918","side",320,65
"919","atlantic",28,19
"920","settles",6,6
"921","pity",73,39
"922","lead",68,42
"923","ledge",18,16
"924","herlirether",1,1
"925","william",186,54
"926","nose",48,27
"927","ness",80,46
"928","lucian-age",1,1
"929","merchant",101,57
"930","congreve",1,1
"931","raises",13,9
"932","liimiielf",1,1
"933","elbow",12,9
"934","doing",171,61
"935","believe",255,64
"936","disappoint",6,6
"937","rises",29,21
"938","table",162,57
"939","enough",301,62
"940","looks",141,49
"941","laughing",49,26
"942","hazel",24,16
"943","iny",23,21
"944","durance",12,8
"945","leaves",172,59
"946","meut",14,13
"947","knew",214,61
"948","finished",63,41
"949","iris",12,9
"950","retires",6,5
"951","pvasnn",1,1
"952","gssau",1,1
"953","eyes",424,61
"954","town",342,67
"955","tell",379,66
"956","wanted",240,63
"957","couldn't",16,14
"958","fore",72,45
"959","fashionable",40,29
"960","finish",29,26
"961","v!'mln",1,1
"962","l't'c",1,1
"963","plethora",4,4
"964","pr.u-i",1,1
"965","trusteil",1,1
"966","read",180,62
"967","sentence",28,20
"968","luo.urago",1,1
"969","newsjsrper",1,1
"970","men",1047,67
"971","uwh",1,1
"972","smiles",23,19
"973","lines",171,63
"974","book-case",1,1
"975","speaks",38,25
"976","scans",4,4
"977","mail",295,64
"978","jtu",2,2
"979","rate",151,53
"980","ui*l",1,1
"981","friend's",8,6
"982","estimate",31,20
"983","well-filled",2,2
"984","shelves",5,3
"985","stuart",1,1
"986","mill",263,62
"987","taking",230,61
"988","lu-i",1,1
"989","mih!l",1,1
"990","correct",85,44
"991","good",1402,67
"992","books",53,32
"993","set",259,64
"994","asleep",22,19
"995","least",205,61
"996","lace",39,28
"997","handkerchief",7,6
"998","applying",14,13
"999","l*rel"",',r",1,1
"1000","columns",34,25
"1001","theatre",40,23
"1002","opinion",160,58
"1003","hiddlemaich",1,1
"1004","tearless",1,1
"1005","usual",175,63
"1006","appealing",6,5
"1007","reecli",1,1
"1008","cxpccteil",1,1
"1009","tlm",71,43
"1010","to-night",52,28
"1011","yourself",77,42
"1012","george",111,49
"1013","elliot's",1,1
"1014","nmrsliang",1,1
"1015","ireyond",1,1
"1016","children's",7,7
"1017","sympathy",61,35
"1018","trance",7,6
"1019","indistinct",1,1
"1020","handsomer",3,3
"1021","comprehension",2,2
"1022","rave",7,7
"1023","llhi",1,1
"1024","n'j",1,1
"1025","stenographu",1,1
"1026","laughs",14,12
"1027","novel",18,16
"1028","chased",20,18
"1029","fair",213,60
"1030","utmost",39,27
"1031","disrespect",2,2
"1032","üllu",1,1
"1033","inch",96,46
"1034","promise",73,39
"1035","remain",112,56
"1036","custody",8,6
"1037","liguer",1,1
"1038","tlwt",2,2
"1039","intensely",8,8
"1040","tones",17,17
"1041","parent",20,19
"1042","tries",41,23
"1043","awske",1,1
"1044","follow",171,60
"1045","advice",57,31
"1046","teresting",3,3
"1047","try",198,63
"1048","console",4,4
"1049","trouble",180,62
"1050","inetimes",1,1
"1051","greund",1,1
"1052","conditions",41,32
"1053","slmll",1,1
"1054","accept",99,50
"1055","bright",104,47
"1056","gem",22,20
"1057","literature",13,9
"1058","possession",51,35
"1059","manage",28,21
"1060","lee",18,16
"1061","greet",19,16
"1062","uain",1,1
"1063","invitation",21,21
"1064","instea",1,1
"1065","returning",109,62
"1066","father's",23,18
"1067","business",522,67
"1068","tiress",1,1
"1069","hua",5,5
"1070","r-s",2,2
"1071","sickeimsl",1,1
"1072","apppsrd",1,1
"1073","agreed",35,26
"1074","shall",421,65
"1075","jng",22,18
"1076","reoni",1,1
"1077","passes",26,20
"1078","small",363,66
"1079","vily",1,1
"1080","ujs'n",1,1
"1081","timee",3,3
"1082","vmiup",1,1
"1083","imenlary",1,1
"1084","nntici",1,1
"1085","opera",32,22
"1086","life-long",5,4
"1087","sorrow",62,32
"1088","stretches",9,8
"1089","weary",22,20
"1090","course",302,66
"1091","bur",30,25
"1092","limbs",32,24
"1093","sofa,'opens",1,1
"1094","book",105,43
"1095","gaps",2,2
"1096","excuses",6,6
"1097","m,vr",1,1
"1098","terribly",30,26
"1099","become",162,63
"1100","acquainted",29,24
"1101","eh,ftfu",1,1
"1102","u,,ldt",1,1
"1103","wnlutio",1,1
"1104","intriguer",1,1
"1105","stewart",44,26
"1106","wh,ch",3,3
"1107","xvt",2,2
"1108","could",993,67
"1109","strongvi",1,1
"1110","uniku",1,1
"1111","t«r",2,2
"1112","gr«.d",1,1
"1113","joumhh.ntic",1,1
"1114","vstablihhmeiitii",1,1
"1115","opiate",1,1
"1116","ere",108,53
"1117","first",890,67
"1118","perused",3,3
"1119","various",109,53
"1120","hfe",4,4
"1121","ltsommg",1,1
"1122","inore",3,3
"1123","s.reiet",1,1
"1124","whl",6,6
"1125","sleeping",23,17
"1126","wonl",5,5
"1127","httvu",1,1
"1128","dusk",9,9
"1129","ojrens",1,1
"1130","l.ei",1,1
"1131","ought",88,45
"1132","st,,,,ek",1,1
"1133","te""uu",1,1
"1134","yes",270,58
"1135","whs",26,21
"1136","hanging",29,24
"1137","dour",8,8
"1138","together",194,60
"1139","meke",2,2
"1140","agtredtcau",1,1
"1141","cv,,t",1,1
"1142","w""""lolv",1,1
"1143","j'te",1,1
"1144","iiewspapc",1,1
"1145","disturbcl",1,1
"1146","entered",102,49
"1147","interrupts",15,11
"1148","bar",82,43
"1149","git",10,10
"1150","igl-l",1,1
"1151","piaun",1,1
"1152","lnci'hinge",1,1
"1153","fanuei",1,1
"1154","iflive",1,1
"1155","seekers",9,9
"1156","iliticel",1,1
"1157","platforms",4,4
"1158","talk",114,43
"1159","indt",2,2
"1160","rende",1,1
"1161","tanin",1,1
"1162","independent",27,21
"1163","lio",15,13
"1164","class",187,60
"1165","people",734,67
"1166","conn",31,27
"1167","hinder",10,10
"1168","naeti",1,1
"1169","mofi",1,1
"1170","lympathy",1,1
"1171","l't-.couiage",1,1
"1172","duraors",1,1
"1173","tlien",5,5
"1174","glcat",1,1
"1175","deal",128,55
"1176","cheap",125,59
"1177","wit",100,49
"1178","doctors",36,20
"1179","num",24,19
"1180","written",77,46
"1181","entitled",42,28
"1182","imm",18,13
"1183","doctor",177,58
"1184","s'ltln",1,1
"1185","light",324,65
"1186","bc»ik",1,1
"1187","titled",8,7
"1188","fcveiy",1,1
"1189","ivb",1,1
"1190","undertaker",51,49
"1191","glad",117,55
"1192","however",289,64
"1193","diavc",1,1
"1194","their",2505,67
"1195","path",35,30
"1196","ic'vn",1,1
"1197","ith",212,59
"1198","tviiiediction",1,1
"1199","tho",3276,66
"1200","iimn",1,1
"1201","befriended",3,3
"1202","kncounig",1,1
"1203","lawyers",17,12
"1204","cheated",3,3
"1205","fed",51,35
"1206","tlieir",11,7
"1207","profession",42,30
"1208","hole,red",1,1
"1209","fact",410,66
"1210","tliet",1,1
"1211","lowe",10,8
"1212","stand",162,58
"1213","mount",38,27
"1214","sinai",6,6
"1215","lonl",1,1
"1216","moses",15,7
"1217","law",305,67
"1218","yer",23,10
"1219","nnd",72,38
"1220","bible",83,47
"1221","apeak",9,9
"1222","christ",33,21
"1223","advocate",104,51
"1224","encourage",13,8
"1225","teachers",74,39
"1226","public",663,67
"1227","sell",125,49
"1228","mils",22,19
"1229","occultation",2,2
"1230","arduous",2,2
"1231","poorly",6,6
"1232","compensated",3,3
"1233","difficult",65,43
"1234","occupa",2,2
"1235","empty",29,19
"1236","head",537,67
"1237","fill",110,55
"1238","an,oewfully",1,1
"1239","stuffing",3,3
"1240","machine",193,56
"1241","modem",15,13
"1242","sclusd",2,2
"1243","system",160,56
"1244","invalids",3,3
"1245","chantable",1,1
"1246","soothing",17,12
"1247","moral",57,32
"1248","stiinulauiig",1,1
"1249","ongnae",1,1
"1250","imfl",1,1
"1251","noth",26,23
"1252","idvfbtinibhi",1,1
"1253","tkhmfv",1,1
"1254","muhint",1,1
"1255","mtttfin",1,1
"1256","rnti",2,2
"1257","umrtltn",1,1
"1258","ointe",1,1
"1259","htr",6,5
"1260","fnb",1,1
"1261","eqiv",1,1
"1262","ns""r",1,1
"1263","ion",249,64
"1264","hack",85,43
"1265","frfrfueturel",1,1
"1266","lhr",5,5
"1267","l«*w",1,1
"1268","v"".ii",1,1
"1269","iintrit",1,1
