"","words","term.freq","doc.freq"
"270","price",49,30
"271","bread",7,5
"272","home",53,39
"273","assistance",28,22
"274","french",35,23
"275","dutch.the",1,1
"276","crops",9,9
"277","island",84,48
"278","promise",12,9
"279","harvest",7,7
"280","except",41,36
"281","eastward",5,4
"282","ahs",1,1
"283","generally",34,27
"284","been",696,207
"285","considered",45,33
"286","productive",9,9
"287","part.by",0,0
"288","westmoreland",1,1
"289","just",62,53
"290","arrived",145,84
"291","learn",47,36
"292","slaves",42,21
"293","mutinous",2,2
"294","alarming",11,10
"295","degree",34,25
"296","ever",48,42
"297","made",224,121
"298","acquainted",10,10
"299","intended",35,33
"300","abolition",6,6
"301","slave",15,9
"302","trade",76,46
"303","extract",46,44
"304","june",88,36
"305","dreadfully",1,1
"306","alarmed",8,8
"307","scarcity",9,9
"308","throughout",23,20
"309","common",55,38
"310","market",48,28
"311","six",81,65
"312","dollars",51,26
"313","cwt",5,4
"314","bran",1,1
"315","oats",5,4
"316","bushel",10,6
"317","pease",3,3
"318","there",388,155
"319","taken",118,82
"320","quantity",28,26
"321","city",48,36
"322","liberties",2,1
"323","order",82,60
"324","governor",124,61
"325","council",32,18
"326","find",62,43
"327","more",262,120
"328","than",288,136
"329","serve",16,15
"330","ten",57,41
"331","days",87,59
"332","worse",5,5
"333","off",101,66
"334","district",21,19
"335","montreal",49,24
"336","here",167,79
"337","sent",86,63
"338","them",497,172
"339","frequent",5,5
"340","supplies.wheat",1,1
"341","bad",25,22
"342","shipped",6,5
"343","year",118,68
"344","three",166,108
"345","now",228,109
"346","sells",5,5
"347","merchant",19,16
"348","upwards",32,27
"349","fifteen",12,12
"350","hundred",67,46
"351","pounds",20,15
"352","job.government",1,1
"353","relief",20,15
"354","poor",36,26
"355","caused",14,11
"356","issued",24,20
"357","contractor",2,2
"358","rise",18,17
"359","get",51,44
"360","dollar's",2,1
"361","worth",19,17
"362","time",240,116
"363","day",134,84
"364","yesterday",30,26
"365","delivered",12,11
"366","above",75,56
"367","way.in",1,1
"368","letters",41,32
"369","thursday's",1,1
"370","post",20,15
"371","thousand",41,32
"372","bushels",11,7
"373","damaged",3,3
"374","england",103,64
"375","though",75,52
"376","hear",48,18
"377","cargo",26,25
"378","new",390,180
"379","york",82,46
"380","vessel",108,61
"381","call",27,23
"382","brunswick",6,5
"383","probably",30,24
"384","people",196,86
"385","want",53,37
"386","themselves",87,71
"387","detained",3,3
"388","government",214,110
"389","done",32,27
"390","what",150,79
"391","should",203,91
"392","five",77,59
"393","then",153,74
"394","starving",4,4
"395","condition",39,28
"396","proclamation",24,15
"397","permit",6,6
"398","importation",8,7
"399","states.my",1,1
"400","servant",6,6
"401","come",61,46
"402","baker's",1,1
"403","where",160,82
"404","him",214,76
"405","half",57,34
"406","after",146,89
"407","watching",3,3
"408","hours",26,22
"409","till",42,32
"410","came",56,48
"411","out",239,123
"412","overn",1,1
"413","could",167,80
"414","eighteen-pennyworth",1,1
"415","small",78,63
"416","loaves",1,1
"417","indeed",47,32
"418","weighing",2,2
"419","only",170,103
"420","each",110,72
"421","thirty-five",1,1
"422","shillings",7,5
"423","paid",48,35
"424","lord",82,40
"425","knows",7,7
"426","us–except",1,1
"427","distribute",1,1
"428","troops",62,31
"429","queen.mr",1,1
"430","davidson",3,3
"431","assured",16,14
"432","thursday",35,31
"433","flourin",1,1
"434","country",372,141
"435","weeks",22,19
"436","deal",10,6
"437","pains",5,5
"438","well",149,88
"439","informed",42,39
"440","subjuct",1,1
"441","indebted",6,6
"442","allow",11,10
"443","stood",10,9
"444","forth",15,15
"445","alone",19,16
"446","offered",24,21
"447","expence",22,18
"448","quantities",8,8
"449","insisted",3,3
"450","its",245,95
"451","coinage",7,5
"452","americans",55,35
"453","their",976,211
"454","won",3,3
"455","less",90,62
"456","contracted",5,5
"457","congress",51,22
"458","coined",2,2
"459","rate",34,20
"460","annum",9,6
"461","contracters",1,1
"462","also",116,81
"463","bound",34,32
"464","down",71,47
"465","famous",1,1
"466","jersey",4,3
"467","copper",14,12
"468","little",90,61
"469","larger",11,9
"470","halfpence",2,2
"471","passes",8,6
"472","states;–silver",1,1
"473","gold",27,13
"474","coins",6,5
"475","nations",28,23
"476","however",98,59
"477","pass",26,17
"478","cur",1,1
"479","rent",11,7
"480","yet",97,69
"481","ordered",30,23
"482","silver",15,12
"483","gentleman",59,39
"484","bermuda",6,4
"485","friend",38,21
"486","norfolk",7,6
"487","virginia",17,15
"488","april",55,27
"489","captain",110,59
"490","gilbert",1,1
"491","bearer",4,3
"492","you",244,60
"493","distress",26,15
"494","provi",1,1
"495","sions",1,1
"496","whole",147,84
"497","corn",34,23
"498","sale",26,20
"499","past",20,18
"500","george",34,18
"501","baltimore",7,6
"502","immeddiately",1,1
"503","barrels",9,4
"504","superfine",1,1
"505","eight",45,40
"506","barrel",4,4
"507","expected",51,42
"508","relieve",5,5
"509","number",214,122
"510","obliged",20,15
"511","live",40,28
"512","greens",1,1
"513","field",24,19
"514","hamilton",9,4
"515","advice",13,11
"516","counsel",8,7
"517","opened",20,17
"518","foreign",37,27
"519","whatever",31,27
"520","thirty",17,17
"521","computed",3,3
"522","march",44,30
"523","laden",9,6
"524","allows",3,3
"525","salted",2,2
"526","said",163,77
"527","permited",1,1
"528","allowed",27,25
"529","dispose",6,5
"530","prove",24,22
"531","set",41,34
"532","intent",1,1
"533","ready",23,21
"534","sail",34,28
"535","advise",11,6
"536","late",69,52
"537","publication",7,5
"538","entitled",21,17
"539","state",213,102
"540","give",106,74
"541","public",126,58
"542","idea",24,22
"543","bill",77,19
"544","talked",5,5
"545","procrastinated",1,1
"546","long",82,51
"547","pending",1,1
"548","work",55,32
"549","understand",50,38
"550","production",10,9
"551","adam",4,4
"552","lymburner",1,1
"553","esq",64,28
"554","negotiate",3,3
"555","afair",1,1
"556","remarkablewithhis",1,1
"557","former",45,41
"558","strong",31,27
"559","nervous",1,1
"560","elocution",1,1
"561","perspicuity",1,1
"562","reasoning.liberty",1,1
"563","congenial",5,4
"564","feelings",14,12
"565","mankind",6,6
"566","security",32,20
"567","flows",1,1
"568","free",65,39
"569","constitution",25,18
"570","both",80,58
"571","political",19,13
"572","civil",28,21
"573","liberty",27,19
"574","contributes",1,1
"575","towards",59,38
"576","bringing",13,12
"577","powers",16,12
"578","human",30,24
"579","mind",32,28
"580","encouragement",14,10
"581","called",72,48
"582","participate",3,3
"583","legislative",22,12
"584","authority",38,27
"585","representatives",16,13
"586","criterion",2,2
"587","freedom",6,6
"588","extremely",22,18
"589","natural",28,24
"590","subjects",45,27
"591","know",46,31
"592","struggle",3,3
"593","such",275,100
"594","valuable",38,27
"595","right",69,36
"596","constantly",14,14
"597","acknoledged",1,1
"598","prin",3,3
"599","ciple",3,3
"600","granted",26,18
"601","means",116,71
"602","rendered",16,13
"603","flourishing",10,9
"604","prosperous",6,6
"605","those",221,108
"606","ther",3,3
"607","although",30,24
"608","inhabitants",80,58
"609","general",188,94
"610","tendency",7,7
"611","mild",19,16
"612","administration",15,12
"613","enjoyed",5,5
"614","certain",52,36
"615","peculiar",12,12
"616","nature",43,35
"617","system",52,33
"618","entirely",19,18
"619","deprived",5,5
"620","full",73,54
"621","enjoyment",5,5
"622","essential",8,8
"623","privileges",3,3
"624","prayer",7,5
"625","petitions",3,3
"626","fore",2,2
"627","house",165,70
"628","commons",13,12
"629","objects",23,18
"630","prayed",2,2
"631","reduced",19,16
"632","heads",7,6
"633","elective",9,9
"634","assembly",33,18
"635","members",45,24
"636","receive",33,28
"637","salaries",7,5
"638","counsellors",1,1
"639","habeas",2,2
"640","corpusact",1,1
"641","laws",51,28
"642","relating",4,4
"643","personal",12,11
"644","libertybe",1,1
"645","part",178,108
"646","trial",23,16
"647","jury",20,10
"648","causes",12,12
"649","likewise",15,13
"650","twelve",26,25
"651","return",54,43
"652","verdict",5,4
"653","ancient",4,4
"654","relative",22,16
"655","marriage",8,7
"656","settlements",41,33
"657","inheritance",3,3
"658","dowers",1,1
"659","continued",28,25
"660","force",57,38
"661","districts",10,9
"662","curious",17,14
"663","anecdote.–a",1,1
"664","stranger",7,3
"665","waited",5,4
"666","sibbly",5,1
"667","treasurer",3,3
"668","east",31,24
"669","india",52,39
"670","company",110,47
"671","desired",13,13
"672","speak",16,12
"673","private",41,34
"674","retired",11,8
"675","lately",60,48
"676","returned",42,34
"677","smuggled",1,1
"678","duty",30,22
"679","pay",55,30
"680","upon",282,113
"681","smiled",1,1
"682","told",17,15
"683","money",89,49
"684","chairman's",1,1
"685","permission",7,7
"686","pray",4,4
"687","soon",71,60
"688","possible",30,25
"689","resolved",26,18
"690","pays",5,5
"691","exclusive",11,11
"692","privilege",6,6
"693","europe",38,26
"694","man",130,74
"695","deprives",1,1
"696","advantages",25,18
"697","hope",64,48
"698","reap",2,2
"699","opinion",39,29
"700","look",23,20
"701","himself",55,40
"702","strictly",12,10
"703","honest",7,7
"704","chairman",14,11
"705","answer",19,16
"706","notwithstanding",12,12
"707","gave",47,37
"708","including",15,13
"709","bank",28,15
"710","note",7,3
"711","thing",55,40
"712","dublin",11,9
"713","indiaman",3,3
"714","william",57,29
"715","joneswe",1,1
"716","left",103,77
"717","patia",1,1
"718","dec",14,13
"719","went",48,33
"720","decca",2,1
"721","passage",65,47
"722","famine",9,6
"723","really",9,9
"724","shocking",6,6
"725","sight",9,9
"726","behold",3,3
"727","move",9,8
"728","your",131,36
"729","corpses",1,1
"730","lay",20,20
"731","way",62,46
"732","wild",32,12
"733","dogs",2,2
"734","jackalls",1,1
"735","eating",12,11
"736","noon-day",2,2
"737","hindoos",1,1
"738","bury",2,2
"739","dead",20,17
"740","burn",2,2
"741","afford",31,25
"742","throw",4,4
"743","river",149,62
"744","seen",49,34
"745","side",68,38
"746","laid",43,31
"747","lowwater",1,1
"748","mark",14,13
"749","tide",4,4
"750","flowed",1,1
"751","woman",26,21
"752","child",23,20
"753","dies",2,2
"754","night",44,33
"755","corpse",4,3
"756","eaten",1,1
"757","eye",11,8
"758","witness",4,4
"759","always",27,22
"760","rode",3,3
"761","horseback",4,4
"762","every",260,115
"763","opportunity",28,25
"764","seeing",11,10
"765","did",69,48
"766","course",70,50
"767","became",12,12
"768","used",15,14
"769","took",83,58
"770","notice",39,33
"771","it.i",1,1
"772","dreadful",29,23
"773","conflagration",4,3
"774","place",188,102
"775","burnt",24,20
"776","seven",34,28
"777","miles",122,53
"778","intermission",2,2
"779","many",207,109
"780","perished",6,6
"781","inudation",1,1
"782","second",56,39
"783","third",29,25
"784","how",37,26
"785","distressed",11,11
"786","leave",40,30
"787","think",51,33
"788","december",24,22
"789","calcutta",9,6
"790","through",92,59
"791","sunderburns",1,1
"792","hearty",2,2
"793","thank",4,4
"794","god",10,10
"795","old",34,26
"796","sending",17,14
"797","men",189,96
"798","rank",22,21
"799","govern",3,2
"800","seems",28,23
"801","revived",3,3
"802","laudably",1,1
"803","too.this",1,1
"804","important",51,41
"805","possession",33,22
"806","hold",28,23
"807","distinction",3,3
"808","parent",7,6
"809","bestow",1,1
"810","it.the",6,5
"811","salary",8,6
"812","emoluments",2,2
"813","annexed",6,5
"814","render",14,13
"815","king's",30,22
"816","gift",2,2
"817","ireland.soon",1,1
"818","restoration",4,4
"819","o'brian",1,1
"820","earl",27,17
"821","inchiquin",1,1
"822","appointed",32,26
"823","died",26,21
"824","government.henry",1,1
"825","bentinck",2,2
"826","duke",43,15
"827","portland",1,1
"828","reign",1,1
"829","grace",16,7
"830","july",49,35
"831","age.the",1,1
"832","death",49,26
"833","noblemen",1,1
"834","impression",7,7
"835","climate",40,27
"836","insalubrity",1,1
"837","air",11,9
"838","persons",135,84
"839","fortune",10,9
"840","ambitious",1,1
"841","becoming",9,8
"842","governors",13,9
"843","notwith",1,1
"844","standing",5,5
"845","brilliancy",4,2
"846","appointments",2,2
"847","nexd",1,1
"848","situation",47,28
"849","bay",43,35
"850","honduras",3,3
"851","says",28,25
"852","spaniards",18,10
"853","who",566,172
"854","annual",16,11
"855","visit",14,13
"856","settlement",73,50
"857","prevent",31,29
"858","encroachments",2,2
"859","destroying",9,9
"860","cultivated",7,5
"861","spots",1,1
"862","shore",17,16
"863","alledging",1,1
"864","settlers",79,40
"865","prohibited",11,11
"866","convention",14,5
"867","cultivation",24,20
"868","kind",38,35
"869","temporary",12,10
"870","misfortune",4,4
"871","woodcutters",2,1
"872","depriving",2,2
"873","principal",34,30
"874","subsisting",8,8
"875","negroes",23,13
"876","might",107,55
"877","mischief",2,2
"878","superintendant",0,0
"879","colonel",45,35
"880","despar",1,1
"881","calypso",1,1
"882","sloop",7,7
"883","war",94,61
"884","keeps",2,2
"885","mahogany",1,1
"886","certainly",28,24
"887","raise",14,13
"888","form",62,45
"889","philadelphia",34,27
"890","travelled",6,6
"891","see",66,53
"892","appearance",41,29
"893","poverty",10,8
"894","boast",4,4
"895","britain–every",1,1
"896","meet",27,23
"897","rather",46,31
"898","extravagance",2,2
"899","procure",15,11
"900","easily",24,19
"901","frugal",1,1
"902","out-givings",1,1
"903","manufactured",6,6
"904","equal",30,27
"905","quality",30,23
"906","place.i",1,1
"907","children",67,31
"908","village",13,9
"909","farm-house",1,1
"910","them.–the",1,1
"911","increase",45,33
"912","like",45,29
"913","rabbits",1,1
"914","supposed",43,39
"915","double",9,8
"916","numbers",44,31
"917","shorter",4,4
"918","period.–what",1,1
"919","grand",26,19
"920","prospect",17,14
"921","hundreds",5,5
"922","acres",68,34
"923","land",231,107
"924","lye",2,2
"925","sic",2,2
"926","idle",6,5
"927","purchased",25,17
"928","manufacture",9,8
"929","wages",22,16
"930","high",58,40
"931","back",38,32
"932","pence",1,1
"933","engaging",7,7
"934","tons",21,19
"935","transports",6,6
"936","contract",9,6
"937","carry",37,30
"938","felons",1,1
"939","sentence",9,6
"940","transportation",17,11
"941","botany",9,8
"942","victualling",3,3
"943","convicts",35,22
"944","voyage",52,35
"945","included",6,6
"946","dear",9,7
"947","beef",10,9
"948","good",198,104
"949","pound",6,5
"950","mutton",4,4
"951","butter",11,9
"952","parishes",12,10
"953","upper",81,32
"954","niagara",27,15
"955","four",86,61
"956","months.there",1,1
"957","orders",36,29
"958","load",6,5
"959","exceedingly",10,10
"960","brisk",9,7
"961","giving",15,13
"962","preference",9,9
"963","european",12,8
"964","m'donald",2,2
"965","honour",31,22
"966","adopted",29,26
"967","liberal",10,9
"968","plan",51,32
"969","establishing",14,10
"970","free-villages",1,1
"971","extensive",28,19
"972","domains",1,1
"973","proposed",48,29
"974","lordship",25,10
"975","fraser",6,6
"976","perpetual",5,5
"977","feus",1,1
"978","lands",39,28
"979","subject",92,53
"980","moderate",8,7
"981","quit",7,5
"982","threatened",4,4
"983","emigrations",9,6
"984","america",110,72
"985","deserve",3,3
"986","highest",15,13
"987","praises",1,1
"988","kitt's",1,1
"989","matthew",4,3
"990","slegg",1,1
"991","downs",4,4
"992","nearly",41,33
"993","fixed",17,15
"994","august",27,23
"995","weather",27,22
"996","fine",45,38
"997","short",57,47
"998","description",44,35
"999","remarks",20,13
"1000","western",36,22
"1001","territory",28,21
"1002","settled",32,26
"1003","nation",34,27
"1004","wha",1,1
"1005","world",46,35
"1006","experience",22,19
"1007","obstinate",2,2
"1008","rebel",1,1
"1009","dare",5,5
"1010","deny",6,6
"1011","pleasure",23,17
"1012","inform",12,12
"1013","readers",17,15
"1014","paying",12,10
"1015","attention",46,38
"1016","agriculture",5,5
"1017","manufactures–they",1,1
"1018","already",59,46
"1019","beginning",19,19
"1020","rebellion",1,1
"1021","viz",12,12
"1022","vermont",7,4
"1023","kentucky",26,17
"1024","indiana",2,1
"1025","territory.about",1,1
"1026","seventeen",4,3
"1027","wilderness",3,2
"1028","began",8,8
"1029","forest",8,6
"1030","rapid",12,11
"1031","contains",20,12
"1032","published",23,18
"1033","abridged",1,1
"1034","rerejoice",1,1
"1035","heart",17,13
"1036","briton",5,5
"1037","read",34,21
"1038","settling",8,7
"1039","countries",22,18
"1040","keep",16,13
"1041","manufacturing",4,4
"1042","opening",12,10
"1043","customers",2,2
"1044","tradesman",2,2
"1045","twenty",30,27
"1046","purchase",19,16
"1047","lots",3,2
"1048","territory.–hence",1,1
"1049","demand",34,23
"1050","manufactures",16,11
"1051","continually",4,3
"1052","increasing",17,15
"1053","america.–desponding",1,1
"1054","politicians",2,2
"1055","derive",9,9
"1056","comfort",18,15
"1057","channels",3,3
"1058","inland",4,3
"1059","parts",49,37
"1060","continent",12,9
"1061","require",12,9
"1062","supply.–british",1,1
"1063","ages",7,7
"1064","ascend",1,1
"1065","rivers",12,7
"1066","extraordinary",27,18
"1067","navigation",19,16
"1068","diffused",1,1
"1069","fertile",26,18
"1070","thirteen",7,6
"1071","states.the",4,4
"1072","name",48,35
"1073","bounded",3,2
"1074","mississippi",8,6
"1075","north",91,46
"1076","lakes–east",1,1
"1077","pennsylvania",11,8
"1078","south",205,115
"1079","south-east",2,2
"1080","ohio",22,17
"1081","hutchins",1,1
"1082","geographer",1,1
"1083","square",14,9
"1084","sixty-three",2,2
"1085","deducts",1,1
"1086","forth-three",1,1
"1087","water",67,43
"1088","remain",23,21
"1089","fed–ral",1,1
"1090","discharge",13,11
"1091","debt",21,12
"1092","owing",11,11
"1093","proportion",39,25
"1094","native",37,30
"1095","indians",132,61
"1096","disposed",19,17
"1097","congress*.on",1,1
"1098","commenced–one",1,1
"1099","marietta",1,1
"1100","miami.this",1,1
"1101","end",31,28
"1102","muskingham",1,1
"1103","hockhocking",1,1
"1104","sioto",1,1
"1105","miami",12,9
"1106","wobash&c–coal",1,1
"1107","iron",19,15
"1108","mines",8,5
"1109","salt",7,6
"1110","pits",1,1
"1111","abound",7,5
"1112","soil",31,19
"1113","excellent?as",1,1
"1114","rich",16,10
"1115","imagined",4,3
"1116","yield",7,7
"1117","labour",72,32
"1118","healthy",7,7
"1119","pleasant",4,3
"1120","commodious–the",1,1
"1121","spot",15,12
"1122","earth",12,7
"1123","known",39,33
"1124","europeans",15,15
"1125","americans–exceeding",1,1
"1126","timber",30,10
"1127","tall",1,1
"1128","variety?streams",1,1
"1129","mills",9,4
"1130","indigo",1,1
"1131","hemp",3,3
"1132","cotton",7,6
"1133","thrive",3,3
"1134","escape",11,9
"1135","exhibit",4,4
"1136","latent",2,2
"1137","beauties",3,3
"1138","fulfill",1,1
"1139","travellers",3,3
"1140","garden",5,5
"1141","center",1,1
"1142","empire",11,11
"1143","future",29,25
"1144","period",37,28
"1145","centrical",1,1
"1146","accommodate",1,1
"1147","better",57,43
"1148","stocked",2,2
"1149","game",6,4
"1150","herds",3,3
"1151","deers",1,1
"1152","elks",1,1
"1153","bears",4,4
"1154","fill",6,6
"1155","meadows",2,2
"1156","thie",2,2
"1157","country?turkies",1,1
"1158","geese",2,2
"1159","swans",3,3
"1160","partridges",1,1
"1161","innumerable",3,3
"1162","excellently",1,1
"1163","stored",2,2
"1164","fish",25,11
"1165","almost",39,32
"1166","navigable",7,7
"1167","sloops.in",1,1
"1168","ordinance",1,1
"1169","acquire",2,2
"1170","fifty",15,13
"1171","divided",13,10
"1172","states.rejoice",1,1
"1173","britons",1,1
"1174","supplied",13,12
"1175","natives",61,19
"1176","rum",9,8
"1177","women",50,34
"1178","going",32,27
"1179","among",118,66
"1180","female",28,22
"1181","destined",17,17
"1182","beautiful",26,15
"1183","pity",3,2
"1184","send",29,25
"1185","abroad",6,6
"1186","preferred",5,4
"1187","carlisle",3,3
"1188","saturday",32,28
"1189","between",96,75
"1190","o'clock",44,31
"1191","happened",12,10
"1192","violent",7,5
"1193","hurricane",2,2
"1194","pest",1,1
"1195","thunder",4,4
"1196","storm",14,8
"1197","lost",44,36
"1198","determine",2,2
"1199","proper",37,25
"1200","borough",5,3
"1201","vicinity",14,12
"1202","conceive",8,8
"1203","nothing",61,45
"1204","earthquake",7,6
"1205","attended",29,22
"1206","circumstances",44,35
"1207","cloud",4,2
"1208","clouds",3,3
"1209","lowering",1,1
"1210","aspect",3,3
"1211","furiously",1,1
"1212","agitated",2,2
"1213","broken",16,14
"1214","seemingly",1,1
"1215","fall",27,25
"1216","attracted",6,5
"1217","prepared",18,17
"1218","measure",29,23
"1219","follow",21,18
"1220","lightening",2,2
"1221","distance",50,30
"1222","remarkably",2,2
"1223","red",21,8
"1224","seemed",12,9
"1225","flash",2,2
"1226","again",47,40
"1227","quick",2,2
"1228","succession",3,3
"1229","sheet",1,1
"1230","flame",2,2
"1231","effect",54,35
"1232","motion",35,13
"1233","especially",15,15
"1234","pressed",12,12
"1235","heavy",31,30
"1236","suddenly",8,6
"1237","falling",16,12
"1238","hail",7,4
"1239","fell",38,29
"1240","rain",4,4
"1241","abundant",13,10
"1242","thrown",18,14
"1243","buckets",1,1
"1244","along",16,12
"1245","dashed",2,2
"1246","against",106,65
"1247","opposing",8,8
"1248","object",64,49
"1249","impetuous",1,1
"1250","wind",16,14
"1251","darkened",1,1
"1252","manner",48,37
"1253","surrounding",3,3
"1254","ruins",4,4
"1255","irresistible",3,3
"1256","column",4,3
"1257","happily",6,6
"1258","damages",3,2
"1259","apprehended",3,3
"1260","brick",3,2
"1261","rev",22,10
"1262","elevated",6,4
"1263","near",58,48
"1264","lying",21,19
"1265","directly",5,5
"1266","line",19,13
"1267","powerful",11,11
"1268","sufferer",2,2
"1269","building",19,16
"1270","borne",6,5
"1271","roof",6,4
"1272","paton's",2,1
"1273","striking",11,10
"1274","forcibly",7,6
"1275","injuring",3,3
"1276","ways",5,5
"1277","adjoining",13,12
"1278","lot",6,6
"1279","same",145,93
"1280","doctor's",2,2
"1281","injruing",1,1
"1282","smaller",12,8
"1283","buildings",18,13
"1284","next",78,54
"1285","pointed",16,14
"1286","fury",10,10
"1287","presbyterian",5,4
"1288","church",37,15
"1289","town–a",1,1
"1290","uncommon",5,5
"1291","solidity",2,2
"1292","calculated",31,26
"1293","stand",21,17
"1294","admist",1,1
"1295","elements",3,2
"1296","fourth",9,7
"1297","weighty",3,3
"1298","cornice",1,1
"1299","ground",35,29
"1300","open",35,25
"1301","centre",4,4
"1302","beat",5,5
"1303","injured",5,5
"1304","range",3,2
"1305","nearest",3,3
"1306","fences",3,3
"1307","neighbourhood",22,19
"1308","direction",25,18
"1309","far",64,51
"1310","farmers",22,14
"1311","sustained",7,7
"1312","learned",12,9
"1313","let",41,28
